K,clock_ns,timing_viol,bin_II,cosim_total_cyc,cyc_per_byte,LUT,LUT_pct,FF,BRAM,DSP
1,6.0,0,1,73578,14.34,11243,9%,4936,13,0
2,6.0,0,1,46906,9.14,19946,17%,8089,16,0
4,6.0,0,1,35292,6.88,35530,30%,13609,22,0
8,6.0,0,1,32694,6.37,67349,57%,24792,42,0
16,6.0,0,1,39505,7.70,131000,111%,47181,82,2
